Members,Dmg,P1,P2,P3,P4,P5,Boss
BIGBOOBA,4094,Crown,Liter,SBS,Alice,Clay(1/1/1),Thermite B
BISMARCK,5557,Crown,Liter,SBS,Alice,Clay(1/1/1),Thermite B
BISMARCK,5469,Crown,Liter,SBS,Mana,Clay(1/1/1),Thermite B
BISMARCK,5606,Crown,Liter,SBS,Mana,Noir,Thermite B
DISTORSI,8171,Crown,Liter,SBS,Alice,Clay(1/1/1),Thermite B
DISTORSI,6958,Crown,Liter,SBS,Mana(1/1/1),Noir,Thermite B
DISTORSI,4673,Blanc,Liter,SBS,Mana(1/1/1),Noir,Thermite B
DISTORSI,7020,Crown,Liter,SBS,Alice,Noir,Thermite B
DISTORSI,5808,mMast,Liter,SBS,Alice,mAnchor,Thermite B
DISTORSI,6217,Crown,Liter,SBS,wAsuka (1/1/1),Clay(1/1/1),Thermite B
DISTORSI,5096,Blanc,Liter,SBS,Noir,Clay(1/1/1),Thermite B
DISTORSI,7696,Crown,Liter,SBS,Alice,Naga,Thermite B
DISTORSI,9387,Crown,RapiRH,SBS,Alice,Naga,Thermite B
DISTORSI,9463,Crown,RapiRH,SBS,Alice,Clay(1/1/1),Thermite B
DISTORSI,5463,sRosanna,Liter,SBS,Alice,Clay(1/1/1),Thermite B
DISTORSI,7739,Grave,Liter,SBS,Alice,Clay(1/1/1),Thermite B
DISTORSI,4935,Cindy,Rouge,sAnis,Mari,Clay(1/1/1),Thermite B
DOOM,6831,Grave,Liter,SBS,Alice,Clay(1/1/1),Thermite B
FELUNA,7111,Crown,Liter,SBS,Alice,Clay(1/1/1),Thermite B
FELUNA,4198,Volume,mMast,SBS,Alice,mAnchor,Thermite B
FELUNA,7226,Crown,RapiRH,SBS,Alice,Naga,Thermite B
FELUNA,4663,Crown,Liter,S.Sakura,Asuka:Wille,Naga,Thermite B
FTD,9994,Crown,Liter,SBS,Alice,Clay(1/1/1),Thermite B
FTD,8273,Crown,Liter,SBS,Mana,Noir,Thermite B
HELIOS,4752,Grave,Liter,SBS,Alice,Clay(1/1/1),Thermite B
IMNORMI,5427,Crown,Liter,SBS,Alice,Clay(1/1/1),Thermite B
IMNORMI,4461,Crown,Liter,SBS,Alice,MAnchor,Thermite B
IMNORMI,4202,Crown,Liter,SBS,Alice,Noir,Thermite B
IMNORMI,5118,Crown,Liter,SBS,Alice,Naga,Thermite B
IMNORMI,3822,mMast,Liter,SBS,Alice,MAnchor,Thermite B
IMNORMI,3942,Grave,Liter,SBS,Alice,MAnchor,Thermite B
JARGHA,5729,Crown,Liter,SBS,Alice,Clay(1/1/1),Thermite B
JARGHA,5922,Crown,Liter,SBS,Alice,Naga,Thermite B
JARGHA,4667,Crown,Liter,SBS,Alice,Privaty,Thermite B
JARGHA,6053,Crown,Liter,SBS,Mana,Noir,Thermite B
JARGHA,6000,Crown,Liter,SBS,Mana,Clay(1/1/1),Thermite B
JARGHA,6178,Crown,RapiRH,SBS,Mana,Noir,Thermite B
KISHI,7331,Crown,Liter,SBS,Alice,Clay(1/1/1),Thermite B
MINT,7450,Grave,Liter,SBS,Alice,Clay(1/1/1),Thermite B
MOS,6791,Crown,Liter,SBS,Alice,Clay(1/1/1),Thermite B
MOS,6356,Crown,Liter,SBS,Mana,Noir,Thermite B
MOS,6449,Grave,Liter,SBS,Alice,Clay(1/1/1),Thermite B
NEKO,4260,Crown,Liter,SBS,Alice,Clay(1/1/1),Thermite B
NOVASONI,6328,Crown,Liter,SBS,Alice,Clay(1/1/1),Thermite B
RHEAX,4489,Crown,Liter,SBS,Alice,Clay(1/1/1),Thermite B
SHAIZUKO,4087,Crown,Liter,SBS,Alice,Clay(1/1/1),Thermite B
SHRIMP,4158,Crown,Liter,SBS,Crown,Clay(1/1/1),Thermite B
TISTREE,5360,Crown,Liter,SBS,Alice,Clay(1/1/1),Thermite B
TISTREE,3938,mMast,Liter,SBS,Alice,mAnchor,Thermite B
TISTREE,5272,Grave,Liter,SBS,Alice,Clay(1/1/1),Thermite B
TYLER,4056,Crown,Liter,SBS,Alice,Clay(1/1/1),Thermite B
TYLER,4101,Crown,Liter,SBS,Mana,Noir,Thermite B
TYLER,3714,Crown,Liter,SBS,Alice,Noir,Thermite B
TYLER,3252,Crown,Dkw,SBS,Alice,Noir,Thermite B
TYLER,3560,Grave,Liter,SBS,Alice,Noir,Thermite B
VIOLE,4808,Crown,Liter,SBS,Alice,Clay(1/1/1),Thermite B
VIOLE,4314,Grave,Liter,SBS,Alice,Clay(1/1/1),Thermite B
WELT,5745,Crown,Liter,SBS,Alice,Clay(1/1/1),Thermite B
ZAKELIS,4561,Crown,Liter,SBS,Alice,Clay(1/1/1),Thermite B
ZAKELIS,4887,Crown,Liter,SBS,Mana,Clay(1/1/1),Thermite B
ZAKELIS,5227,Crown,Liter,SBS,Mana,Noir,Thermite B
ZAKELIS,4361,Crown,Liter,SBS,Asuka:WILLE (4/4/4),Noir,Thermite B
LULU,3857,Crown,SBS,Alice,Liter,Naga,Thermite B
BIGBOOBA,7537,Crown,DKW,RapiRH,RH,Naga,Mace
